TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
evening,23.8,51.42,109.21,550.54,459.19,695.0,651.7,576.69,3.0,6817,ventilation only,very bright,low activity
morning,16.91,51.42,85.95,607.8,523.75,769.38,733.25,685.38,0.0,1374,maintenance mode,bright,low activity
afternoon,18.12,53.88,111.17,595.66,455.33,726.72,689.03,587.81,1.0,2105,cooling active,very bright,high activity
night,21.07,56.16,132.17,563.97,455.55,704.67,650.02,586.55,2.0,1903,eco mode,moderate,low activity
morning,19.31,45.71,80.89,611.92,430.22,769.95,727.0,645.35,0.0,2105,cooling active,very bright,moderate activity
morning,19.3,45.99,84.91,615.4,411.27,761.97,716.18,640.23,1.0,2105,ventilation only,very bright,high activity
morning,17.82,52.65,107.1,587.58,488.87,759.74,717.22,665.93,1.0,1374,off,moderate,moderate activity
morning,19.08,56.27,110.84,598.04,484.39,728.64,685.7,599.62,1.0,3856,maintenance mode,dim,low activity
morning,19.62,51.42,88.87,603.52,410.89,748.2,708.01,632.23,1.0,2105,eco mode,bright,moderate activity
morning,19.51,47.0,95.72,604.03,372.96,744.21,690.65,615.32,1.0,2105,cooling active,very bright,high activity
morning,19.39,51.42,101.79,596.16,398.88,749.81,714.35,623.6,1.0,2105,off,very dim,high activity
evening,22.99,51.0,136.81,568.92,420.47,694.46,640.16,556.3,2.0,9184,maintenance mode,bright,low activity
morning,18.6,52.56,98.67,592.08,514.4,743.96,705.89,633.37,1.0,4507,cooling active,very bright,high activity
morning,19.21,48.43,80.44,613.38,531.12,765.76,720.88,677.99,0.0,3856,heating active,moderate,low activity
afternoon,18.74,51.42,74.56,618.72,527.78,769.4,735.08,664.26,0.0,2105,eco mode,dim,low activity
evening,24.05,53.84,124.89,546.91,475.6,726.7,663.56,591.25,1.0,8936,off,very dim,low activity
afternoon,18.62,51.83,106.84,596.56,467.66,747.32,703.82,630.21,1.0,9658,ventilation only,very bright,moderate activity
afternoon,18.05,51.42,86.1,612.17,482.1,766.68,728.85,652.96,0.0,2105,heating active,very bright,moderate activity
morning,19.0,52.74,122.45,582.84,438.36,745.96,709.06,627.54,1.0,6847,ventilation only,moderate,high activity
afternoon,18.83,46.79,87.41,616.01,477.6,726.7,715.52,641.17,0.0,2105,off,very bright,low activity
afternoon,18.64,47.35,93.3,609.21,478.95,749.48,715.98,642.79,0.0,2105,cooling active,bright,low activity
morning,19.42,57.25,114.47,596.93,475.61,731.78,691.86,621.09,2.0,7241,off,bright,high activity
afternoon,18.86,46.95,94.75,612.09,486.38,755.56,726.55,645.09,0.0,2105,cooling active,very bright,moderate activity
afternoon,18.12,48.85,93.17,612.03,489.97,761.61,713.75,655.67,0.0,2105,off,very bright,low activity
night,19.88,56.04,142.55,564.68,428.13,716.32,679.17,595.24,2.0,8649,maintenance mode,dim,low activity
afternoon,17.8,52.13,105.19,599.41,410.02,726.7,682.18,587.01,1.0,2105,ventilation only,dim,low activity
afternoon,17.76,51.42,109.73,598.83,405.34,722.03,683.48,575.47,1.0,2105,ventilation only,very bright,moderate activity
afternoon,18.72,53.71,75.56,617.11,540.78,726.7,728.92,657.45,1.0,3856,cooling active,very bright,moderate activity
night,19.86,56.82,116.84,598.8,460.03,733.65,680.72,613.27,2.0,7241,heating active,bright,low activity
afternoon,17.29,48.56,102.07,590.6,508.18,716.74,655.43,579.39,1.0,3418,off,very bright,low activity
afternoon,18.35,51.83,99.09,607.65,467.26,747.23,701.67,619.85,1.0,2105,ventilation only,very bright,low activity
afternoon,18.46,51.5,98.21,596.93,475.08,738.17,706.23,616.07,1.0,2105,ventilation only,very bright,high activity
afternoon,18.25,52.2,103.08,599.28,482.48,735.06,693.68,613.64,1.0,2105,cooling active,bright,high activity
night,19.54,53.4,129.77,586.29,441.09,729.08,674.39,612.49,1.0,6847,heating active,very bright,high activity
afternoon,18.23,52.56,107.9,597.38,456.57,736.14,693.96,610.16,1.0,2105,cooling active,very bright,low activity
morning,19.03,53.44,96.98,558.58,490.19,726.7,664.94,608.25,2.0,4703,off,bright,low activity
afternoon,18.47,52.57,111.38,595.79,445.14,730.16,686.82,603.98,1.0,2105,eco mode,very bright,moderate activity
morning,19.69,54.74,103.88,555.32,475.17,739.98,673.75,615.21,1.0,4703,maintenance mode,very bright,moderate activity
afternoon,18.09,53.49,110.63,598.23,457.06,721.23,698.93,599.89,1.0,2105,ventilation only,moderate,low activity
afternoon,18.13,53.55,112.0,588.31,447.69,723.16,687.89,598.65,1.0,2105,maintenance mode,bright,moderate activity
afternoon,18.05,53.33,108.8,596.23,451.8,733.85,683.46,610.51,1.0,2105,heating active,bright,low activity
morning,19.72,54.15,106.08,546.82,487.44,738.96,681.02,613.32,1.0,4703,maintenance mode,very bright,low activity
afternoon,18.12,53.25,112.24,596.7,451.24,721.43,683.01,597.21,1.0,2105,maintenance mode,very bright,moderate activity
evening,23.12,51.42,115.24,584.71,450.67,732.45,681.94,609.57,1.0,1374,eco mode,very bright,moderate activity
afternoon,18.2,53.11,114.58,589.21,447.68,705.36,660.51,576.35,1.0,2105,eco mode,dim,moderate activity
night,20.9,55.95,134.51,560.54,444.21,713.75,661.66,583.17,1.0,1903,maintenance mode,very dim,low activity
afternoon,16.96,51.42,116.29,580.54,489.66,731.13,685.4,610.15,1.0,9184,ventilation only,very bright,high activity
afternoon,18.28,51.42,122.13,599.41,473.29,692.84,665.27,566.96,1.0,6847,off,very dim,low activity
evening,23.94,48.99,127.39,589.95,440.89,727.25,674.28,602.37,2.0,7241,maintenance mode,very bright,low activity
evening,18.21,51.42,129.12,587.75,474.1,698.05,661.74,560.65,1.0,6847,ventilation only,very bright,moderate activity
evening,19.17,51.0,118.87,592.17,446.62,696.14,663.51,563.56,1.0,6847,ventilation only,very bright,moderate activity
morning,18.07,52.47,116.98,596.03,485.93,762.1,734.79,656.2,1.0,1374,heating active,dim,low activity
afternoon,16.3,47.15,78.83,604.72,532.62,761.44,723.25,673.26,0.0,8052,off,moderate,moderate activity
afternoon,23.54,51.42,106.92,543.08,425.72,726.7,654.42,582.27,2.0,4703,ventilation only,very bright,low activity
evening,20.93,51.42,132.05,584.21,468.14,697.37,663.15,562.78,1.0,6847,maintenance mode,moderate,low activity
evening,21.58,47.64,136.34,585.01,467.77,706.13,663.32,567.94,1.0,6847,maintenance mode,very bright,low activity
evening,21.55,51.42,138.77,585.07,465.94,696.84,663.3,545.13,1.0,6847,maintenance mode,very bright,low activity
evening,21.76,47.54,129.73,588.78,473.39,704.1,661.75,571.41,1.0,6847,ventilation only,very bright,low activity
afternoon,24.07,53.41,120.38,541.03,466.17,706.05,650.75,589.82,1.0,8936,maintenance mode,dim,low activity
night,22.62,53.94,113.99,549.52,451.3,705.5,660.08,577.97,1.0,3592,ventilation only,dim,low activity
evening,19.49,50.15,111.03,584.6,471.57,726.7,673.77,554.47,1.0,6847,heating active,very bright,moderate activity
morning,18.4,47.11,75.75,562.22,544.74,760.79,705.52,655.42,1.0,9241,off,very bright,moderate activity
evening,23.24,46.3,153.49,575.94,449.26,682.08,647.72,546.06,1.0,6847,cooling active,bright,low activity
night,19.04,49.8,119.42,581.62,481.13,730.41,700.21,625.95,1.0,6431,eco mode,very dim,moderate activity
evening,23.72,44.97,148.74,584.9,454.7,726.7,649.26,557.03,1.0,6847,off,bright,low activity
evening,23.25,51.42,145.41,581.33,448.75,686.13,654.44,548.95,1.0,6847,cooling active,very bright,low activity
evening,24.03,44.63,143.77,582.24,451.98,686.44,649.17,548.49,1.0,6847,maintenance mode,moderate,low activity
morning,18.02,46.63,82.42,610.15,498.5,764.57,725.09,678.07,0.0,1374,off,moderate,low activity
night,20.65,53.42,109.77,597.79,478.23,726.7,706.51,613.61,1.0,5693,cooling active,moderate,high activity
evening,23.85,44.5,142.47,589.69,441.75,700.97,659.06,558.93,1.0,6847,eco mode,very bright,low activity
evening,18.87,53.53,84.32,587.04,466.12,741.3,706.25,617.13,1.0,6528,eco mode,very bright,moderate activity
evening,23.87,44.74,135.24,573.56,443.76,698.5,660.39,556.18,1.0,6847,eco mode,moderate,low activity
evening,24.44,51.42,135.63,581.68,460.72,701.55,663.81,560.68,1.0,6847,off,very bright,low activity
afternoon,21.89,50.24,115.25,577.22,397.52,714.02,663.22,607.33,1.0,4507,eco mode,very dim,low activity
morning,18.85,50.37,105.47,580.15,483.81,726.7,697.39,620.84,2.0,7395,heating active,very bright,low activity
evening,23.49,45.84,138.36,589.18,466.61,699.31,657.81,553.91,1.0,6847,maintenance mode,very bright,low activity
afternoon,22.51,51.42,83.94,553.19,535.39,755.63,708.59,652.85,1.0,2586,maintenance mode,very dim,moderate activity
evening,23.49,45.72,140.3,579.77,464.27,726.7,670.22,558.04,1.0,6847,ventilation only,bright,low activity
morning,19.57,51.69,112.51,585.88,443.51,735.64,680.46,599.58,1.0,1826,cooling active,very bright,moderate activity
evening,23.63,51.42,140.43,581.83,458.97,701.6,653.46,562.7,1.0,6847,ventilation only,moderate,low activity
evening,23.8,46.1,151.7,584.53,460.51,700.61,664.14,558.64,1.0,6847,maintenance mode,very bright,low activity
afternoon,18.7,53.42,103.8,581.19,460.13,724.5,666.13,589.16,2.0,7395,heating active,very bright,low activity
afternoon,19.69,51.42,86.07,604.4,495.92,751.33,701.03,641.48,2.0,3856,ventilation only,bright,high activity
evening,22.75,51.42,147.97,577.83,455.09,703.1,668.11,561.8,1.0,6847,eco mode,dim,low activity
afternoon,22.94,52.43,112.18,551.34,471.34,708.02,670.98,616.4,1.0,1458,eco mode,very bright,low activity
evening,23.04,46.91,140.23,585.18,465.94,700.1,666.48,571.42,1.0,6847,heating active,very dim,low activity
evening,23.35,45.98,141.56,583.47,456.37,708.19,660.45,585.82,1.0,6847,off,bright,low activity
evening,23.06,46.79,141.62,585.32,415.89,700.14,660.43,567.73,1.0,6847,heating active,very bright,low activity
evening,23.11,46.86,140.31,582.19,383.44,698.47,654.16,568.83,1.0,6847,eco mode,moderate,low activity
evening,22.04,44.66,112.97,582.97,459.42,719.6,677.6,603.93,2.0,2679,cooling active,bright,low activity
evening,22.72,46.96,129.29,588.24,385.82,702.58,663.93,569.34,1.0,6847,eco mode,very bright,low activity
morning,19.2,55.39,78.04,590.2,536.81,752.3,705.05,640.09,0.0,6528,maintenance mode,very bright,moderate activity
evening,21.89,48.89,127.82,577.85,402.34,711.42,667.4,577.4,1.0,6847,maintenance mode,very bright,moderate activity
evening,21.63,49.38,135.67,589.8,406.01,703.04,661.96,579.39,1.0,6847,maintenance mode,very bright,moderate activity
evening,21.66,49.41,126.37,591.53,413.37,709.69,673.5,582.35,1.0,6847,cooling active,very bright,low activity
afternoon,19.16,55.83,99.96,556.22,521.59,734.16,702.58,636.75,1.0,6817,off,very bright,moderate activity
night,21.28,51.42,129.32,588.92,406.9,712.38,675.79,581.32,1.0,6847,off,very bright,low activity
morning,18.32,50.46,83.47,557.67,507.69,758.24,703.59,638.25,2.0,9241,ventilation only,very bright,moderate activity
night,20.57,51.72,133.16,580.49,410.42,707.77,671.78,585.36,1.0,6847,maintenance mode,very bright,low activity
afternoon,22.81,51.42,108.39,558.67,491.64,707.01,666.02,611.06,1.0,3592,cooling active,bright,low activity
afternoon,21.25,49.33,84.52,614.37,502.39,752.3,699.84,631.51,1.0,3856,ventilation only,bright,moderate activity
afternoon,21.88,44.23,114.99,592.04,434.78,735.25,702.16,615.62,1.0,1374,cooling active,bright,high activity
night,20.71,51.03,129.78,583.55,427.85,719.08,681.02,592.66,1.0,6847,heating active,very bright,low activity
night,20.43,56.08,130.54,568.61,471.08,727.27,660.59,595.13,1.0,1903,off,dim,low activity
night,19.53,56.47,141.74,570.16,426.68,721.94,680.42,612.7,2.0,8649,maintenance mode,moderate,low activity
afternoon,22.72,51.97,115.48,552.29,487.78,713.94,663.73,598.44,1.0,7058,heating active,very dim,low activity
morning,19.67,57.96,135.0,558.02,446.12,711.96,655.9,587.06,2.0,9385,eco mode,very bright,moderate activity
evening,25.64,45.29,105.89,598.69,377.73,718.26,663.93,603.73,2.0,3856,maintenance mode,very bright,low activity
night,20.28,55.73,135.7,565.05,370.64,693.2,637.19,550.35,1.0,3074,eco mode,bright,moderate activity
night,20.17,51.42,142.52,559.44,425.6,711.42,663.26,591.61,2.0,8649,ventilation only,very bright,low activity
afternoon,18.08,51.42,82.05,620.95,490.85,751.16,708.85,643.94,2.0,5693,off,bright,moderate activity
night,19.85,51.42,133.04,587.35,427.2,723.58,679.73,597.79,1.0,6847,eco mode,very bright,moderate activity
night,19.94,51.42,125.99,589.5,429.54,721.61,677.32,591.96,1.0,6847,eco mode,very bright,low activity
night,19.89,52.86,130.73,582.59,440.14,731.69,681.68,599.28,1.0,6847,heating active,very bright,low activity
night,19.92,52.72,132.48,582.23,438.16,725.68,688.74,607.13,1.0,6847,cooling active,moderate,moderate activity
night,19.94,51.42,127.2,588.22,439.8,720.35,689.39,605.02,1.0,6847,cooling active,bright,low activity
night,19.83,52.74,136.18,589.94,428.45,721.3,692.81,597.04,1.0,6847,heating active,very bright,high activity
night,19.8,52.93,134.24,586.08,423.52,730.86,685.51,603.22,1.0,6847,heating active,moderate,moderate activity
night,19.99,53.49,99.48,598.71,466.91,727.31,683.08,615.55,1.0,9127,cooling active,very bright,moderate activity
night,20.35,58.5,125.79,549.3,485.8,716.51,685.96,614.11,1.0,8936,maintenance mode,bright,low activity
night,19.54,51.42,129.77,586.29,441.09,729.08,674.39,612.49,1.0,6847,heating active,very bright,high activity
night,19.51,53.37,130.38,581.48,438.58,729.79,686.71,609.03,1.0,6847,maintenance mode,bright,high activity
night,19.49,51.42,127.56,588.3,439.16,731.15,690.8,610.99,1.0,6847,eco mode,very bright,moderate activity
night,19.53,53.32,126.8,583.69,446.55,725.37,689.43,600.63,1.0,6847,cooling active,very bright,moderate activity
night,19.53,51.42,128.35,589.5,442.54,733.66,681.59,601.25,1.0,6847,cooling active,bright,high activity
night,19.49,53.1,134.64,590.61,431.83,733.79,691.28,606.43,1.0,6847,off,very bright,high activity
morning,20.0,57.34,141.67,559.1,404.79,726.7,645.72,575.5,2.0,9385,eco mode,very bright,low activity
night,19.39,52.9,127.34,591.22,437.46,735.14,691.11,604.13,1.0,6847,cooling active,very bright,moderate activity
afternoon,18.96,51.42,80.94,568.22,536.98,754.4,715.78,643.54,0.0,3592,off,very bright,moderate activity
night,19.37,52.74,121.9,585.51,440.97,731.18,699.18,618.51,1.0,6847,cooling active,bright,moderate activity
evening,25.25,46.88,116.14,573.58,437.17,704.06,659.83,587.42,1.0,4507,eco mode,moderate,low activity
night,19.12,53.54,126.14,589.49,445.35,740.01,679.47,615.35,1.0,6847,heating active,moderate,moderate activity
evening,19.03,51.42,84.16,585.04,453.75,735.55,700.82,624.27,1.0,6528,ventilation only,moderate,low activity
morning,19.35,51.42,95.04,554.94,504.64,748.95,692.25,645.53,2.0,9241,ventilation only,very bright,moderate activity
evening,23.64,50.69,148.24,564.83,411.41,682.64,637.45,556.87,2.0,5172,eco mode,very bright,low activity
afternoon,17.54,51.42,93.92,601.65,459.61,726.7,726.36,651.21,0.0,2105,heating active,very bright,moderate activity
night,19.08,53.16,124.32,587.84,443.56,741.09,694.51,622.16,1.0,6847,heating active,very bright,moderate activity
morning,17.07,51.42,95.34,598.95,542.34,747.71,703.68,656.35,1.0,7963,ventilation only,very bright,high activity
night,19.11,53.12,124.37,588.9,444.0,732.07,706.85,624.44,1.0,6847,heating active,very bright,moderate activity
night,18.78,51.42,110.69,604.03,494.2,745.83,700.92,631.32,1.0,9127,eco mode,very bright,low activity
evening,23.15,45.94,110.59,595.78,469.79,720.8,684.34,607.81,1.0,9658,heating active,bright,low activity
morning,18.98,51.42,101.09,556.77,505.69,762.69,711.86,645.95,1.0,9241,cooling active,very dim,low activity
night,19.04,53.0,121.93,582.73,447.77,736.64,701.62,617.79,1.0,6847,cooling active,dim,moderate activity
afternoon,21.12,49.32,112.43,595.25,490.62,743.79,691.52,619.91,1.0,4129,heating active,very bright,moderate activity
night,19.24,52.46,120.99,588.42,449.08,741.25,701.66,621.9,1.0,6847,off,very bright,moderate activity
night,18.92,51.42,119.67,586.54,437.81,733.22,698.15,620.0,1.0,6847,off,dim,high activity
afternoon,19.43,57.72,105.62,559.73,535.39,728.63,664.71,601.35,1.0,8936,cooling active,very bright,low activity
night,18.73,51.42,123.23,589.29,443.39,726.7,705.0,619.55,1.0,6847,ventilation only,moderate,moderate activity
afternoon,18.47,51.42,89.71,586.22,489.79,740.02,698.63,635.59,1.0,5172,maintenance mode,bright,moderate activity
morning,19.47,53.18,121.42,562.53,411.68,705.39,680.3,594.32,2.0,5172,heating active,very bright,low activity
afternoon,21.84,47.49,125.51,575.52,478.56,723.84,671.11,592.78,1.0,9184,heating active,moderate,low activity
night,19.85,56.0,142.6,569.88,397.53,718.24,668.48,596.17,2.0,8649,eco mode,very bright,low activity
night,18.86,53.29,122.97,590.41,446.28,746.14,710.54,637.39,1.0,6847,off,very dim,high activity
morning,18.99,52.93,123.09,594.03,448.19,746.68,701.72,627.99,1.0,6847,ventilation only,dim,low activity
morning,20.04,54.62,100.58,548.34,488.35,695.76,622.08,562.45,2.0,1458,eco mode,bright,high activity
morning,19.07,52.53,116.77,595.87,446.51,745.38,708.08,621.77,1.0,6847,eco mode,very dim,high activity
morning,18.84,53.15,126.67,591.26,439.38,746.86,704.95,625.37,1.0,6847,cooling active,very dim,moderate activity
evening,21.39,48.6,109.51,610.0,462.54,726.98,687.25,607.23,2.0,8374,ventilation only,very bright,high activity
evening,23.32,51.42,93.64,606.3,454.95,734.73,689.91,609.6,1.0,1482,heating active,very bright,high activity
morning,18.79,53.19,116.89,591.65,434.98,744.77,698.75,633.63,1.0,6847,off,bright,high activity
morning,18.72,51.42,122.31,588.31,453.34,746.77,708.84,630.66,1.0,6847,eco mode,bright,moderate activity
morning,18.44,51.42,123.31,589.26,462.66,742.14,706.5,637.89,1.0,6847,maintenance mode,very bright,moderate activity
morning,18.51,53.95,122.05,586.11,473.93,752.42,713.47,633.68,1.0,6847,maintenance mode,very bright,moderate activity
night,19.86,54.71,127.69,551.94,460.13,726.7,644.73,572.4,2.0,7058,heating active,moderate,low activity
morning,18.93,52.27,115.04,569.45,422.08,715.05,657.19,592.38,2.0,5172,off,dim,low activity
morning,18.76,53.22,117.12,589.64,444.61,726.7,702.25,632.62,1.0,6847,ventilation only,very bright,moderate activity
morning,18.63,53.63,120.51,589.59,435.76,745.5,717.9,624.16,1.0,6847,off,bright,low activity
morning,18.76,53.17,118.46,591.62,452.62,737.18,703.52,627.76,1.0,6847,maintenance mode,bright,moderate activity
afternoon,18.74,52.21,96.95,598.96,412.2,745.85,698.34,625.41,1.0,9658,cooling active,dim,moderate activity
morning,18.81,53.05,120.59,587.31,450.44,748.59,694.76,634.03,1.0,6847,maintenance mode,bright,low activity
morning,18.74,53.16,120.31,591.44,442.26,750.73,712.32,625.67,1.0,6847,ventilation only,very bright,low activity
morning,18.88,52.73,123.46,589.99,442.76,741.72,712.83,637.7,1.0,6847,eco mode,very bright,moderate activity
morning,18.78,52.98,118.73,591.16,447.99,746.6,706.12,637.18,1.0,4129,cooling active,moderate,high activity
morning,18.56,53.75,118.8,585.87,449.43,746.62,712.55,637.29,1.0,4129,cooling active,bright,low activity
afternoon,20.18,49.94,80.91,619.08,416.5,759.03,698.73,618.25,1.0,7241,off,very dim,moderate activity
morning,18.33,53.98,114.49,589.98,464.34,726.7,701.34,644.3,1.0,4129,heating active,bright,high activity
morning,17.9,51.42,106.19,596.94,497.89,757.23,729.02,671.43,1.0,4129,ventilation only,very bright,low activity
evening,23.16,52.91,101.73,556.39,453.34,726.7,659.54,584.55,2.0,5214,heating active,bright,low activity
evening,24.66,49.84,135.77,559.04,428.01,677.36,622.02,541.87,2.0,1903,cooling active,bright,low activity
evening,23.57,51.42,137.34,583.7,464.45,716.76,671.36,581.02,1.0,4129,heating active,bright,low activity
evening,21.4,49.33,132.8,573.27,404.91,705.28,655.6,587.06,3.0,6431,maintenance mode,very bright,low activity
afternoon,23.91,49.25,109.13,544.22,422.64,717.8,646.59,570.18,2.0,4703,cooling active,moderate,low activity
afternoon,19.04,52.39,103.39,563.09,509.47,726.7,713.0,653.61,1.0,2847,maintenance mode,moderate,high activity
afternoon,22.0,46.47,93.05,613.0,439.22,741.74,695.43,630.64,1.0,1482,heating active,very bright,low activity
evening,23.95,45.32,144.34,577.33,455.3,702.36,665.23,564.04,1.0,6847,cooling active,very bright,low activity
morning,19.45,53.0,119.54,571.38,421.15,717.38,679.44,601.07,2.0,5172,off,moderate,low activity
morning,16.8,51.42,92.75,604.42,543.89,767.66,733.87,661.15,1.0,4129,cooling active,very bright,moderate activity
morning,17.92,51.05,99.29,598.33,538.48,768.52,724.63,662.32,1.0,4129,cooling active,bright,moderate activity
night,17.97,51.42,124.22,583.09,491.74,756.27,711.79,646.58,0.0,5820,cooling active,bright,low activity
evening,23.78,50.72,111.51,544.74,389.35,719.93,656.39,577.81,2.0,4703,cooling active,very bright,low activity
night,20.04,51.88,138.42,578.57,449.31,721.89,671.76,594.81,1.0,7963,eco mode,very bright,moderate activity
night,20.98,52.58,122.18,569.75,377.98,685.48,642.79,554.53,2.0,7395,off,moderate,high activity
evening,24.46,52.95,124.3,543.82,470.55,706.41,653.12,581.58,2.0,8936,heating active,very bright,low activity
evening,23.44,51.22,130.73,555.37,456.94,707.6,664.8,590.75,1.0,9385,maintenance mode,moderate,high activity
night,19.0,49.85,125.58,583.14,468.37,744.29,694.71,626.54,1.0,6431,eco mode,very bright,high activity
afternoon,17.49,56.24,137.66,578.94,505.06,763.27,720.96,651.28,2.0,4129,ventilation only,bright,moderate activity
evening,24.28,50.83,113.45,538.18,381.75,722.29,646.92,567.37,2.0,4703,cooling active,very bright,low activity
evening,22.98,47.15,121.02,580.49,448.07,723.53,677.56,619.24,2.0,9658,maintenance mode,very bright,low activity
afternoon,18.23,52.64,89.92,605.36,516.23,726.7,738.69,669.67,0.0,4129,heating active,very bright,moderate activity
afternoon,18.56,52.56,103.12,602.44,519.18,762.58,728.68,662.81,0.0,4129,eco mode,very bright,low activity
afternoon,18.59,52.66,111.78,599.62,466.0,755.52,721.63,649.31,0.0,4129,off,bright,high activity
afternoon,18.59,52.98,108.17,599.68,474.52,761.19,714.32,644.61,0.0,4129,heating active,very bright,low activity
afternoon,18.7,51.42,115.66,596.87,482.55,764.23,724.92,652.93,0.0,4129,eco mode,bright,high activity
afternoon,19.01,51.69,113.66,594.81,487.29,758.51,723.21,651.92,0.0,4129,cooling active,bright,moderate activity
afternoon,18.74,52.78,113.44,590.66,480.15,751.97,700.12,641.26,1.0,4129,off,moderate,moderate activity
afternoon,18.49,52.92,125.64,593.06,489.74,726.7,715.48,627.23,1.0,4129,heating active,very bright,low activity
afternoon,18.62,51.42,112.19,600.71,463.86,751.01,697.03,625.5,1.0,4129,heating active,moderate,moderate activity
afternoon,19.04,51.82,109.76,599.84,473.22,749.47,685.44,617.6,1.0,4129,heating active,very dim,moderate activity
afternoon,18.96,51.42,108.02,599.48,477.87,747.88,697.96,627.48,1.0,4129,eco mode,bright,moderate activity
afternoon,18.86,51.42,112.76,594.06,480.32,749.74,700.3,608.56,1.0,4129,ventilation only,very bright,high activity
afternoon,18.49,51.42,109.63,591.78,456.7,748.01,688.55,615.71,1.0,4129,maintenance mode,very bright,moderate activity
afternoon,18.81,52.29,116.72,590.31,457.92,751.74,692.94,624.76,1.0,4129,maintenance mode,very dim,low activity
afternoon,18.57,52.92,115.25,596.46,465.78,743.02,699.83,620.99,1.0,4129,heating active,very dim,low activity
morning,20.24,57.48,120.11,552.69,463.25,708.97,677.1,595.51,1.0,3592,ventilation only,moderate,low activity
afternoon,18.68,52.79,118.96,591.96,462.44,746.84,694.66,624.09,1.0,4129,maintenance mode,very bright,moderate activity
night,19.58,54.95,117.09,598.43,497.37,743.93,703.41,619.26,1.0,5693,maintenance mode,very bright,high activity
afternoon,18.6,51.42,120.2,593.24,481.98,743.8,700.83,621.56,1.0,4129,cooling active,bright,low activity
afternoon,18.05,53.85,114.91,593.69,479.04,742.09,692.54,626.5,1.0,4129,off,bright,low activity
afternoon,18.02,53.55,109.65,594.26,469.7,747.06,695.5,627.47,1.0,4129,cooling active,moderate,low activity
afternoon,17.92,51.42,98.74,601.23,519.37,763.45,711.97,659.47,1.0,4129,off,moderate,moderate activity
afternoon,18.85,50.88,97.88,595.26,479.99,749.89,708.19,636.59,1.0,4129,heating active,moderate,low activity
afternoon,19.3,51.42,105.48,597.9,520.52,726.7,707.12,647.39,1.0,4129,maintenance mode,very bright,moderate activity
afternoon,19.76,50.1,106.22,598.14,509.26,757.04,713.75,629.47,1.0,4129,eco mode,very bright,high activity
afternoon,20.14,49.67,100.54,599.33,501.66,754.01,700.01,649.41,1.0,4129,ventilation only,very bright,moderate activity
night,18.53,52.18,124.72,587.03,485.43,732.56,678.94,619.72,1.0,1374,off,bright,moderate activity
afternoon,20.48,49.64,111.52,596.74,519.22,756.09,712.38,648.22,1.0,4129,heating active,bright,low activity
afternoon,19.77,49.97,89.28,617.95,531.76,763.74,700.26,616.22,0.0,7241,cooling active,very dim,moderate activity
afternoon,20.85,49.36,110.61,595.99,495.17,754.37,706.12,632.59,1.0,4129,off,bright,high activity
afternoon,21.02,49.43,111.5,592.39,494.88,750.3,699.01,626.21,1.0,4129,eco mode,bright,moderate activity
afternoon,21.23,49.57,109.69,595.19,499.47,749.48,693.41,633.37,1.0,4129,ventilation only,very bright,low activity
afternoon,21.92,48.01,107.81,590.41,497.58,741.72,690.02,630.86,1.0,4129,maintenance mode,very bright,low activity
night,21.4,51.42,144.26,555.7,440.27,726.7,636.49,558.3,2.0,4761,ventilation only,dim,low activity
afternoon,22.32,47.55,112.83,599.96,490.29,726.7,704.15,616.64,1.0,4129,heating active,moderate,low activity
afternoon,23.97,51.67,109.89,552.0,479.51,711.05,676.1,603.04,1.0,3592,eco mode,very bright,low activity
evening,22.58,47.1,113.73,596.55,495.05,743.46,691.1,613.36,1.0,4129,eco mode,moderate,low activity
evening,22.51,47.3,109.5,594.75,499.63,726.7,696.6,623.13,1.0,4129,off,bright,low activity
afternoon,23.1,48.51,108.98,578.66,478.1,732.78,684.98,630.09,1.0,1826,eco mode,moderate,moderate activity
evening,22.38,47.99,114.05,584.14,496.17,742.55,689.7,618.31,1.0,4129,ventilation only,very bright,high activity
evening,22.22,48.57,114.37,589.55,490.48,740.98,688.57,620.27,1.0,4129,maintenance mode,moderate,low activity
afternoon,17.93,51.82,95.67,598.93,428.49,726.7,679.43,588.43,1.0,2105,eco mode,very bright,moderate activity
evening,22.22,48.5,110.46,586.6,498.37,742.49,682.87,612.13,1.0,4129,cooling active,moderate,high activity
evening,23.13,46.02,89.29,600.17,434.33,739.42,696.48,619.77,1.0,1482,eco mode,very bright,low activity
evening,21.99,48.91,113.95,594.6,500.25,731.21,697.95,612.97,1.0,4129,cooling active,very bright,moderate activity
evening,22.17,51.42,112.17,593.92,499.21,737.57,679.13,611.48,1.0,4129,maintenance mode,bright,low activity
evening,22.58,46.91,152.69,578.16,426.03,708.1,671.87,606.87,2.0,7963,ventilation only,dim,low activity
afternoon,17.97,51.42,106.47,593.83,513.18,756.95,705.23,648.55,1.0,9658,cooling active,moderate,moderate activity
evening,23.62,45.59,117.47,588.8,488.08,728.72,687.6,612.51,1.0,4129,maintenance mode,dim,moderate activity
